time_min,desks_used,desks_queue,tables_used,tables_queue,couches_used,couches_queue,cumulative_balks,total_arrivals
426,41,0,26,0,7,3,320,870
427,41,0,25,0,7,3,320,870
428,42,0,24,0,7,4,320,872
429,43,0,26,0,7,1,320,873
430,45,0,26,0,7,3,320,877
431,45,0,26,0,7,5,320,879
432,45,0,26,0,7,5,320,882
433,46,0,25,0,7,7,320,885
434,46,0,25,0,7,6,320,885
435,46,0,27,0,7,5,320,886
436,47,0,28,0,7,4,320,888
437,47,0,29,0,7,3,320,889
438,48,0,29,0,7,5,320,892
439,47,0,28,0,7,3,320,893
440,45,0,27,0,7,3,320,896
441,45,0,25,0,7,4,320,897
442,44,0,26,0,7,3,320,897
443,44,0,27,0,7,2,320,898
444,46,0,26,0,7,1,320,902
445,47,0,25,0,7,2,320,904
446,48,0,24,0,7,5,320,908
447,49,0,24,0,7,7,320,911
448,49,0,24,0,7,9,320,914
449,50,0,25,0,7,9,320,916
450,51,0,27,0,7,6,320,919
451,53,0,26,0,7,6,320,922
452,55,0,28,0,7,5,320,925
453,56,0,28,0,7,5,320,927
454,56,1,30,0,7,5,320,930
455,56,0,30,0,7,6,320,932
456,56,1,31,0,7,7,320,935
457,56,3,31,0,7,6,320,937
458,56,3,33,0,7,6,320,940
459,56,4,32,0,7,4,320,942
460,56,4,30,0,7,1,320,942
461,56,3,29,0,7,6,320,949
462,56,3,28,0,7,6,320,950
463,56,1,29,0,7,7,320,951
464,56,2,28,0,7,7,320,952
465,56,3,34,0,7,3,320,955
466,56,3,34,1,7,3,320,956
467,56,5,34,1,7,3,320,959
468,56,8,33,0,7,5,320,965
469,56,7,34,2,7,4,320,966
470,56,9,34,3,7,3,320,969
471,56,7,34,5,7,6,320,972
472,56,4,34,9,7,9,322,978
473,56,4,34,9,7,9,323,981
474,56,6,34,6,7,11,325,986
475,56,7,34,5,7,8,329,990
476,56,8,34,7,7,11,330,998
477,56,11,34,8,7,11,330,1004
478,56,8,34,10,7,11,332,1005
479,56,7,34,9,7,11,336,1008
480,56,7,34,15,7,5,337,1011
481,56,4,34,16,7,4,340,1012
482,56,5,34,14,7,8,343,1018
483,56,3,34,7,7,8,351,1019
484,55,0,34,7,7,10,354,1022
485,56,1,34,6,7,13,355,1028
486,56,1,34,9,7,9,357,1029
487,56,3,34,5,7,10,360,1033
488,56,2,34,7,7,6,360,1035
489,56,3,34,4,7,6,363,1037
490,56,3,34,5,7,7,363,1040
491,56,3,34,3,7,6,366,1044
492,56,3,34,1,7,5,366,1046
493,56,4,34,0,7,5,366,1048
494,56,7,34,2,7,5,366,1053
495,56,6,34,4,7,3,366,1053
496,56,4,34,6,7,8,366,1059
497,56,6,34,6,7,10,367,1064
498,56,3,34,8,7,8,370,1068
499,56,3,34,6,7,10,372,1070
500,56,3,34,7,7,8,373,1074
501,56,3,34,5,7,7,377,1075
502,56,4,34,8,7,6,377,1078
503,56,5,34,6,7,7,380,1082
504,56,6,34,8,7,5,381,1086
505,56,8,34,6,7,5,383,1088
506,56,7,34,6,7,6,385,1091
507,56,6,34,5,7,1,388,1092
508,56,4,34,7,7,2,388,1093
509,56,2,34,6,7,3,389,1094
510,56,1,34,5,7,2,391,1094
511,56,1,34,5,7,2,392,1095
512,56,2,34,3,7,2,394,1097
